atomarer Formfaktor für Z = 82
x [keV]	F(x,Z)
0.000000E0	8.200000E1
1.000000E-3	8.200000E1
5.000000E-3	8.197500E1
7.500000E-3	8.194980E1
1.000000E-2	8.193200E1
1.500000E-2	8.186800E1
2.000000E-2	8.176700E1
2.500000E-2	8.163800E1
3.000000E-2	8.148200E1
3.500000E-2	8.130000E1
4.000000E-2	8.109600E1
4.500000E-2	8.087240E1
5.000000E-2	8.062600E1
5.687500E-2	8.024610E1
6.437500E-2	7.979690E1
6.500000E-2	7.975500E1
7.000000E-2	7.943500E1
7.500000E-2	7.909360E1
8.250000E-2	7.857480E1
9.000000E-2	7.803400E1
1.000000E-1	7.728200E1
1.109400E-1	7.643000E1
1.250000E-1	7.530200E1
1.375000E-1	7.427350E1
1.500000E-1	7.325900E1
1.687500E-1	7.173500E1
1.750000E-1	7.123600E1
2.000000E-1	6.922300E1
2.375000E-1	6.624480E1
2.500000E-1	6.527000E1
2.875000E-1	6.238820E1
3.000000E-1	6.145400E1
3.437500E-1	5.825480E1
3.812500E-1	5.565930E1
4.000000E-1	5.442300E1
4.500000E-1	5.130270E1
5.000000E-1	4.845900E1
5.750000E-1	4.467290E1
6.000000E-1	4.352900E1
6.750000E-1	4.038080E1
7.000000E-1	3.941500E1
7.750000E-1	3.670490E1
8.000000E-1	3.585600E1
8.750000E-1	3.343100E1
9.000000E-1	3.266200E1
9.750000E-1	3.044630E1
1.000000E0	2.974100E1
1.062500E0	2.804130E1
1.156300E0	2.569620E1
1.187500E0	2.497160E1
1.250000E0	2.360400E1
1.437500E0	2.017540E1
1.500000E0	1.926000E1
1.625000E0	1.773200E1
1.750000E0	1.649800E1
1.812500E0	1.596250E1
2.000000E0	1.459200E1
2.250000E0	1.314440E1
2.500000E0	1.198300E1
2.671900E0	1.128310E1
2.789100E0	1.079860E1
2.875000E0	1.042220E1
2.894500E0	1.033380E1
3.000000E0	9.835100E0
3.125000E0	9.210240E0
3.359400E0	8.157000E0
3.453100E0	7.827670E0
3.500000E0	7.686700E0
4.000000E0	6.685300E0
4.125000E0	6.413590E0
4.234400E0	6.161240E0
4.425800E0	5.719000E0
4.750000E0	5.063350E0
4.784700E0	5.003180E0
4.928200E0	4.779700E0
5.000000E0	4.682500E0
5.125000E0	4.537590E0
5.343800E0	4.334500E0
5.918000E0	3.928180E0
6.000000E0	3.871400E0
6.250000E0	3.687580E0
7.000000E0	3.200900E0
7.625000E0	2.903470E0
7.875000E0	2.782810E0
8.000000E0	2.718400E0
8.250000E0	2.580450E0
8.468800E0	2.455950E0
8.851600E0	2.243220E0
9.569300E0	1.905380E0
9.856400E0	1.799570E0
1.000000E1	1.753400E0
1.031300E1	1.667670E0
1.060500E1	1.602400E0
1.100900E1	1.530480E0
1.137900E1	1.478470E0
1.183200E1	1.428090E0
1.204300E1	1.408350E0
1.375000E1	1.294130E0
1.500000E1	1.224600E0
1.589800E1	1.169770E0
1.665000E1	1.121640E0
1.748800E1	1.067340E0
1.838500E1	1.009860E0
1.946200E1	9.431000E-1
2.000000E1	9.111000E-1
2.139200E1	8.327660E-1
2.272600E1	7.639410E-1
2.443000E1	6.845310E-1
2.602800E1	6.182130E-1
2.750000E1	5.634890E-1
2.822900E1	5.384030E-1
3.024800E1	4.755220E-1
3.271700E1	4.099890E-1
3.487700E1	3.613790E-1
3.759500E1	3.096960E-1
3.986900E1	2.732530E-1
4.348700E1	2.254870E-1
4.674400E1	1.910330E-1
5.000000E1	1.628800E-1
5.375000E1	1.365620E-1
5.703100E1	1.177960E-1
6.277300E1	9.218710E-2
7.031000E1	6.848190E-2
8.000000E1	4.847000E-2
1.000000E2	2.641500E-2
3.162300E2	1.139520E-3
4.871700E2	3.516230E-4
7.435900E2	1.117810E-4
1.000000E3	5.025700E-5
1.342800E3	2.276670E-5
2.206000E3	6.043070E-6
4.199300E3	1.095770E-6
1.034800E4	1.022680E-7
3.244400E4	5.204240E-9
1.000000E6	7.43470E-13
3.162300E7	9.51509E-17
1.000000E9	1.15860E-20
