Inkohärente Streufunktion für Z = 82
x [keV]	S(x,Z)
0.000000E0	0.000000E0
1.000000E-7	7.20000E-12
1.000000E-6	7.20000E-10
1.000000E-5	7.200000E-8
1.000000E-4	7.200000E-6
1.000000E-3	7.200000E-4
5.000000E-3	1.800000E-2
7.500000E-3	4.050000E-2
1.000000E-2	7.200000E-2
1.500000E-2	1.598000E-1
2.000000E-2	2.813000E-1
2.500000E-2	4.339000E-1
3.000000E-2	6.152000E-1
3.500000E-2	8.224520E-1
4.000000E-2	1.052800E0
4.500000E-2	1.303370E0
5.000000E-2	1.571000E0
5.687500E-2	1.961070E0
6.437500E-2	2.408690E0
6.500000E-2	2.446860E0
7.000000E-2	2.755400E0
7.500000E-2	3.068450E0
8.250000E-2	3.543880E0
9.000000E-2	4.022100E0
1.000000E-1	4.658000E0
1.109400E-1	5.345410E0
1.250000E-1	6.211900E0
1.375000E-1	6.962670E0
1.500000E-1	7.694000E0
1.687500E-1	8.753890E0
1.750000E-1	9.099000E0
2.000000E-1	1.043700E1
2.375000E-1	1.234580E1
2.500000E-1	1.296300E1
2.875000E-1	1.477420E1
3.000000E-1	1.536800E1
3.437500E-1	1.740670E1
3.812500E-1	1.911760E1
4.000000E-1	1.996400E1
4.500000E-1	2.217810E1
5.000000E-1	2.433700E1
5.750000E-1	2.742650E1
6.000000E-1	2.840800E1
6.750000E-1	3.116340E1
7.000000E-1	3.202000E1
7.750000E-1	3.438900E1
8.000000E-1	3.512100E1
8.750000E-1	3.715430E1
9.000000E-1	3.779000E1
9.750000E-1	3.958130E1
1.000000E0	4.015100E1
1.062500E0	4.151940E1
1.156300E0	4.345310E1
1.187500E0	4.407260E1
1.250000E0	4.527700E1
1.437500E0	4.865510E1
1.500000E0	4.971300E1
1.625000E0	5.172180E1
1.750000E0	5.360960E1
1.812500E0	5.450300E1
2.000000E0	5.699300E1
2.250000E0	5.988770E1
2.500000E0	6.233500E1
2.671900E0	6.378220E1
2.789100E0	6.466830E1
2.875000E0	6.528190E1
2.894500E0	6.541300E1
3.000000E0	6.610800E1
3.125000E0	6.686880E1
3.359400E0	6.814460E1
3.453100E0	6.860310E1
3.500000E0	6.882900E1
4.000000E0	7.088500E1
4.125000E0	7.131940E1
4.234400E0	7.169100E1
4.425800E0	7.229400E1
4.750000E0	7.321510E1
4.784700E0	7.330600E1
4.928200E0	7.367610E1
5.000000E0	7.385800E1
5.125000E0	7.415610E1
5.343800E0	7.465270E1
5.918000E0	7.580450E1
6.000000E0	7.595600E1
6.250000E0	7.637430E1
7.000000E0	7.746300E1
7.625000E0	7.816470E1
7.875000E0	7.840830E1
8.000000E0	7.852100E1
8.250000E0	7.872260E1
8.468800E0	7.889440E1
8.851600E0	7.915690E1
9.569300E0	7.956120E1
9.856400E0	7.969930E1
1.000000E1	7.976700E1
1.031300E1	7.989230E1
1.060500E1	8.000590E1
1.100900E1	8.015260E1
1.137900E1	8.026890E1
1.183200E1	8.039870E1
1.204300E1	8.045220E1
1.375000E1	8.082210E1
1.500000E1	8.103300E1
1.589800E1	8.115330E1
1.665000E1	8.124910E1
1.748800E1	8.135100E1
1.838500E1	8.143490E1
1.946200E1	8.153030E1
2.000000E1	8.157600E1
2.139200E1	8.166470E1
2.272600E1	8.173100E1
2.443000E1	8.180100E1
2.602800E1	8.185410E1
2.750000E1	8.188920E1
2.822900E1	8.190600E1
3.024800E1	8.193310E1
3.271700E1	8.196130E1
3.487700E1	8.197670E1
3.759500E1	8.198480E1
3.986900E1	8.199120E1
4.348700E1	8.199650E1
4.674400E1	8.199620E1
5.000000E1	8.199600E1
5.375000E1	8.199660E1
5.703100E1	8.199710E1
6.277300E1	8.199790E1
7.031000E1	8.199890E1
8.000000E1	8.200000E1
1.000000E2	8.200000E1
3.162300E2	8.200000E1
4.871700E2	8.200000E1
7.435900E2	8.200000E1
1.000000E3	8.200000E1
1.342800E3	8.200000E1
2.206000E3	8.200000E1
4.199300E3	8.200000E1
1.034800E4	8.200000E1
3.244400E4	8.200000E1
1.000000E6	8.200000E1
3.162300E7	8.200000E1
1.000000E9	8.200000E1
