Mittlere freie Weglängen für Z = 82
E [keV]	MFWL_t [cm]	MFWL_k [cm]	MFWL_i [cm]	MFWL_e [cm]
1.00000E+00	1.69261E-05	7.05000E-03	2.45798E+01	1.69651E-05
1.10000E+00	2.03998E-05	7.10000E-03	2.12044E+01	2.04566E-05
1.20000E+00	2.41887E-05	7.16000E-03	1.85539E+01	2.42686E-05
1.30000E+00	2.82861E-05	7.22000E-03	1.64431E+01	2.83954E-05
1.40000E+00	3.26911E-05	7.28000E-03	1.47438E+01	3.28494E-05
1.50000E+00	3.74227E-05	7.34000E-03	1.33567E+01	3.76143E-05
1.60000E+00	4.28832E-05	7.41000E-03	1.22167E+01	4.31139E-05
1.70000E+00	4.87115E-05	7.48000E-03	1.12631E+01	4.90366E-05
1.80000E+00	5.49675E-05	7.56000E-03	1.04563E+01	5.53471E-05
1.90000E+00	6.15697E-05	7.63000E-03	9.76388E+00	6.20901E-05
2.00000E+00	6.86131E-05	7.71000E-03	9.16506E+00	6.92056E-05
2.20000E+00	8.44520E-05	7.87000E-03	8.17884E+00	8.54340E-05
2.30000E+00	9.30826E-05	7.95000E-03	7.76809E+00	9.41864E-05
2.40000E+00	1.02141E-04	8.04000E-03	7.39663E+00	1.03459E-04
2.48400E+00	1.10086E-04	8.10000E-03	7.11031E+00	1.11605E-04
2.48400E+00	6.31575E-05	8.10000E-03	7.11031E+00	6.36591E-05
2.50000E+00	5.98967E-05	8.12000E-03	7.05908E+00	6.03476E-05
2.58600E+00	4.53538E-05	8.19000E-03	6.79783E+00	4.56119E-05
2.58600E+00	3.59869E-05	8.19000E-03	6.79783E+00	3.61492E-05
2.60000E+00	3.62831E-05	8.21000E-03	6.75616E+00	3.64481E-05
2.70000E+00	3.83839E-05	8.30000E-03	6.47817E+00	3.85518E-05
2.80000E+00	4.04997E-05	8.40000E-03	6.22654E+00	4.07054E-05
2.90000E+00	4.26756E-05	8.49000E-03	5.99374E+00	4.28832E-05
3.00000E+00	4.48691E-05	8.58000E-03	5.78150E+00	4.50987E-05
3.06600E+00	4.74787E-05	8.65000E-03	5.65179E+00	4.77357E-05
3.06600E+00	4.10847E-05	8.65000E-03	5.65179E+00	4.12771E-05
3.30100E+00	4.92008E-05	8.88000E-03	5.23562E+00	4.94769E-05
3.55400E+00	5.89357E-05	9.13000E-03	4.86309E+00	5.93323E-05
3.55400E+00	5.56264E-05	9.13000E-03	4.86309E+00	5.59796E-05
3.69900E+00	6.11852E-05	9.28000E-03	4.67238E+00	6.15697E-05
3.85100E+00	6.72524E-05	9.44000E-03	4.49149E+00	6.77173E-05
3.85100E+00	6.44502E-05	9.44000E-03	4.49149E+00	6.49248E-05
4.00000E+00	7.04779E-05	9.61000E-03	4.32832E+00	7.09886E-05
5.00000E+00	1.20695E-04	1.07400E-02	3.50429E+00	1.22082E-04
6.00000E+00	1.88715E-04	1.19800E-02	2.96862E+00	1.91753E-04
8.00000E+00	3.85518E-04	1.46900E-02	2.31594E+00	3.96082E-04
1.00000E+01	6.75099E-04	1.77000E-02	1.94202E+00	7.01974E-04
1.30400E+01	1.32000E-03	2.28900E-02	1.62222E+00	1.40000E-03
1.30400E+01	5.43910E-04	2.28900E-02	1.62222E+00	5.57319E-04
1.50000E+01	7.90035E-04	2.66500E-02	1.48932E+00	8.14860E-04
1.52000E+01	8.17884E-04	2.70600E-02	1.47833E+00	8.43712E-04
